free_agent_players, average_salary ,pts,3pts,ast,reb,stl,blk,to,playerscoreindex
Anthony Davis,37980720.00,26.1,1.2,3.2,9.3,1.5,2.3,2.5,41.1
Brandon Ingram,31650600.00,23.8,2.4,4.2,6.1,1,0.6,3,35.1
Gordon Hayward,30000000.00,17.5,1.6,4.1,6.7,0.7,0.4,1.8,29.2
Fred VanVleet,21250000.00,17.6,2.7,6.6,3.8,1.9,0.3,2.2,30.7
Davis Bertans,16000000.00,15.4,3.7,1.7,4.5,0.7,0.6,1.1,25.5
Joe Harris,18750000.00,14.5,2.5,2.1,4.3,0.6,0.2,1.5,22.7
Bogdan Bogdanovic,18000000.00,15.1,2.7,3.4,3.4,1,0.2,1.7,24.1
Marcus Morris Sr.,16000000.00,16.7,2.3,1.4,5,0.8,0.5,1.6,25.1
Danilo Gallinari,20475000.00,18.7,2.9,1.9,5.2,0.7,0.1,1.2,28.3
Jerami Grant,20002500.00,12,1.4,1.2,3.5,0.7,0.8,0.9,18.7
Malik Beasley,15000000.00,11.2,1.9,1.4,2.7,0.7,0.1,1,17
Jordan Clarkson,12880000.00,15.2,2.1,1.9,2.6,0.6,0.2,1.4,21.2
Christian Wood,13666667.00,13.1,0.9,1,6.3,0.5,0.9,1.4,21.3
Kentavious Caldwell-Pope,13038862.00,9.3,1.3,1.6,2.1,0.8,0.2,0.9,14.4
De'Anthony Melton,8656922.00,7.6,0.7,2.9,3.7,1.3,0.3,1.4,15.1
Jae Crowder,9720900.00,10.5,2.1,2.5,5.9,1.1,0.4,1.1,21.4
Derrick Favors,9720900.00,9,0,1.6,9.8,0.6,0.9,1.1,20.8
Dario Saric,9000000.00,10.7,1.3,1.9,6.2,0.6,0.2,1.3,19.6
Jakob Poeltl,8750000.00,5.6,0,1.8,5.7,0.6,1.4,0.8,14.3
Mason Plumlee,8220833.00,7.2,0,2.5,5.2,0.5,0.6,1.3,14.7
Juan Hernangomez,7012440.00,6,0.9,0.8,4.1,0.4,0.2,0.7,11.7
D.J. Augustin,7000000.00,10.5,1.2,4.6,2.1,0.6,0,1.5,17.5
Rodney Hood,10449348.00,11,1.7,1.5,3.4,0.8,0.2,0.9,17.7
Tristan Thompson,9489450.00,12,0.2,2.1,10.1,0.6,0.9,1.8,24.1
Serge Ibaka,9489450.00,15.4,1.3,1.4,8.2,0.5,0.8,2,25.6
Derrick Jones Jr.,9489450.00,8.5,0.6,1.1,3.9,1,0.6,0.5,15.2
Montrezl Harrell,9489450.00,18.6,0,1.7,7.1,0.6,1.1,1.7,27.4
